id,name,auther,repo_name,address,like,estimated_testcodes,packages,all_javas,product_codes,test_codes,product_codes_with_Test,test_codes_without_Test,test_codes_witout_Test_but_test,suspect_test_codes,real_product_codes,real_test_codes,real_test_option_codes,not_availables,used_product_codes,used_test_codes,extends_testcodes,extended_testcodes,used junit,used testng,used extends,no open,no decode,no parse,all_available
957503,Renanse/Ardor3D,Renanse,Ardor3D,https://api.github.com/repos/Renanse/Ardor3D,147,38,144,1022,982,36,2,2,0,36,984,36,2,0,72,2,0,0,36,0,480,0,0,1,1
965190,sarxos/webcam-capture,sarxos,webcam-capture,https://api.github.com/repos/sarxos/webcam-capture,1504,26,42,273,244,15,3,11,0,15,247,15,11,0,19,6,0,0,11,0,99,0,0,0,0
988231,mikera/vectorz,mikera,vectorz,https://api.github.com/repos/mikera/vectorz,189,93,32,364,270,71,1,22,1,72,271,68,25,0,146,5,3,2,68,0,199,0,0,0,0
993770,eclipse/eclipse.jdt.core,eclipse,eclipse.jdt.core,https://api.github.com/repos/eclipse/eclipse.jdt.core,162,587,1154,7558,5742,3,1229,584,2,70,6905,67,585,2,82,24,15,9,11,0,2557,0,2,1163,1165
1004284,UweTrottmann/tmdb-java,UweTrottmann,tmdb-java,https://api.github.com/repos/UweTrottmann/tmdb-java,110,40,7,180,140,24,0,16,0,24,140,22,18,0,73,18,22,1,23,0,62,0,0,0,0
1017955,jcodec/jcodec,jcodec,jcodec,https://api.github.com/repos/jcodec/jcodec,776,145,118,990,841,132,4,13,0,132,845,127,18,0,202,17,0,0,133,0,296,0,0,0,0
1020155,tntim96/JSCover,tntim96,JSCover,https://api.github.com/repos/tntim96/JSCover,260,52,11,145,67,46,26,6,0,69,70,68,7,0,54,4,1,1,72,0,25,0,0,0,0
1029082,picketlink/picketlink,picketlink,picketlink,https://api.github.com/repos/picketlink/picketlink,102,402,279,1727,1325,252,0,150,1,253,1325,225,177,0,405,115,105,16,207,0,778,0,0,1,1
1090676,tdziurko/Guava-Lessons,tdziurko,Guava-Lessons,https://api.github.com/repos/tdziurko/Guava-Lessons,104,26,7,40,12,26,2,0,0,26,14,26,0,0,13,0,0,0,0,26,1,0,0,0,0
1199585,aaberg/sql2o,aaberg,sql2o,https://api.github.com/repos/aaberg/sql2o,898,66,19,185,119,43,0,23,0,43,119,39,27,0,41,33,14,7,21,0,62,0,0,0,0
1223961,justified/tedis,justified,tedis,https://api.github.com/repos/justified/tedis,183,40,48,370,329,26,1,14,1,27,330,18,20,2,57,8,10,1,18,0,105,0,60,0,60
1238888,kabutz/javaspecialists,kabutz,javaspecialists,https://api.github.com/repos/kabutz/javaspecialists,130,20,47,201,163,17,18,3,0,17,181,15,5,0,37,5,0,0,15,0,53,0,0,1,1
