Fullname,CalledClass,CalledMethod,isSpecific,ReturnType
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testForLoopOverArray,(Non_specific),getValues,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testForLoopOverArray,(Non_specific),is,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testForLoopOverArray,(Non_specific),assertThat,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testForLoopOverArray,Collection<Document>,iterator,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testForLoopOverArray,(Non_specific),next,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testForLoopOverArray,(Non_specific),getValues,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testForLoopOverArray,(Non_specific),is,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testForLoopOverArray,(Non_specific),assertThat,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testForLoopOverArray,Collection<Document>,iterator,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testForLoopOverArray,(Non_specific),next,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testForLoopOverArray,(Non_specific),getValues,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testForLoopOverArray,(Non_specific),is,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testForLoopOverArray,(Non_specific),assertThat,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testForLoopOverArray,Collection<Document>,iterator,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testForLoopOverArray,(Non_specific),next,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testForLoopOverArray,(Non_specific),getValues,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testForLoopOverArray,(Non_specific),is,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testForEverything,DocumentConverter,(constructor),True,DocumentConverter
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testForEverything,(Private),view,True,View
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testForEverything,DocumentConverter,convert,True,Collection<Document>
