repo,description
apache/openmeetings,Mirror of Apache Openmeetings
nativelibs4java/BridJ,BridJ: blazing fast Java / C / C++ interop
objectify/objectify,The simplest convenient interface to the Google Cloud Datastore
RUB-NDS/WS-Attacker,WS-Attacker is a modular framework for web services penetration testing. It is developed by the Chair of Network and Data Security - Ruhr University Bochum (https://nds.rub.de/ ) and the Hackmanit GmbH (https://www.hackmanit.de/).
hushnymous/android_frameworks_base,
Sayi/poi-tl,Word模板引擎 Minimal Microsoft word(docx) templating with {{template}} in Java
mangstadt/ez-vcard,A vCard parser library for Java
CloudSlang/cloud-slang,CloudSlang Language - CLI and Builder
blynkkk/blynk-server,Blynk is an Internet of Things Platform aimed to simplify building mobile and web applications for the Internet of Things. Easily connect 400+ hardware models like Arduino - ESP8266 - ESP32 - Raspberry Pi and similar MCUs and drag-n-drop IOT mobile apps for iOS and Android in 5 minutes
EdwardRaff/JSAT,Java Statistical Analysis Tool - a Java library for Machine Learning 
mesos/elasticsearch,Elasticsearch on Mesos
facebook/react-native,A framework for building native apps with React.
facebook/fresco,An Android library for managing images and the memory they use.
apache/aurora,Apache Aurora - A Mesos framework for long-running services - cron jobs - and ad-hoc jobs
hankcs/HanLP,中文分词 词性标注 命名实体识别 依存句法分析 语义依存分析 新词发现 关键词短语提取 自动摘要 文本分类聚类 拼音简繁 自然语言处理
hopshadoop/hops,Hops Hadoop is a distribution of Apache Hadoop with distributed metadata.
square/keywhiz,A system for distributing and managing secrets
damianszczepanik/cucumber-reporting,HTML reports for Cucumber
square/moshi,A modern JSON library for Kotlin and Java.
psi-probe/psi-probe,Advanced manager and monitor for Apache Tomcat - forked from Lambda Probe
voodoodyne/subethasmtp,SubEtha SMTP is a Java library for receiving SMTP mail
coobird/thumbnailator,Thumbnailator - a thumbnail generation library for Java
UnderwaterApps/overlap2d,Overlap2D Game development toolkit for UI and Level design
eivindveg/HotSUploader,JavaFX-based Replay Uploader for Heroes of the Storm
spring-guides/tut-spring-security-and-angular-js,Spring Security and Angular:: A tutorial on how to use Spring Security with a single page application with various backend architectures - ranging from a simple single server to an API gateway with OAuth2 authentication.
apache/incubator-myriad,Mirror of Apache Myriad (Incubating)
jsettlers/settlers-remake,A Remake of "The Settlers III" for Windows - Linux - Mac and Android
rrd4j/rrd4j,A high performance data logging and graphing system for time series data.
espertechinc/esper,Esper Complex Event Processing - Streaming SQL and Event Series Analysis
kennyk65/Microservices-With-Spring-Student-Files,Student Files for Microservices with Spring course
kanastasov/Advanced-Java-Programming--First-Semeste-,The first part of the course focus on  Design Patterns and Principles 
Pushjet/Pushjet-Android,The Pushjet android client
ClearTK/cleartk,Machine learning components for Apache UIMA
jprante/elasticsearch-jdbc,JDBC importer for Elasticsearch
relaxng/jing-trang,Schema validation and conversion based on RELAX NG
cincheo/jsweet,A Java to JavaScript transpiler.
Microsoft/ApplicationInsights-Java,Application Insights SDK for Java
bbottema/simple-java-mail,Simple API - Complex Emails (JavaMail smtp wrapper)
SciGraph/SciGraph,A Neo4j backed ontology store
juankysoriano/Zen,Zen! An open source meditation sketch for Android
vmware/lightwave,Identity services for traditional infrastructure - applications and containers.
veraPDF/veraPDF-library,Industry supported - open source PDF/A validation library
tipsy/j2html,Java to HTML generator. Enjoy typesafe HTML generation.
apache/parquet-mr,Apache Parquet
Yakindu/statecharts,YAKINDU Statechart Tools (http://www.statecharts.org)
x-stream/xstream,Serialize Java objects to XML and back again.
diffplug/spotless,Keep your code spotless
apache/activemq-artemis,Mirror of Apache ActiveMQ Artemis
OWASP/java-html-sanitizer,Takes third-party HTML and produces HTML that is safe to embed in your web application.  Fast and easy to configure.
helyho/Voovan,Voovan是高性能异步通信、HTTP服务器和客户端通信、动态编译支持、数据库操作帮助类等工具的框架
asterisk-java/asterisk-java,The free Java library for Asterisk PBX integration.
graalvm/simplelanguage,A simple example language built using the Truffle API.
uber/phabricator-jenkins-plugin,Jenkins plugin to integrate with Phabricator - Harbormaster - and Uberalls
GoogleCloudPlatform/java-docs-samples,
igvteam/igv,Integrative Genomics Viewer. Fast - efficient - scalable visualization tool for genomics data and annotations 
apache/incubator-atlas,Mirror of Apache Atlas (Incubating)
gradle/oreilly-gradle-book-examples,
ICIJ/extract,A cross-platform command line tool for parallelised content extraction and analysis.
livelessons-spring/building-microservices,Building Microservices with Spring Boot
paul-hammant/qdox,QDox - full extractor of Java class/interface/method definitions (including annotations - parameters - param names)
braintree/android-card-form,A ready-made card form layout that can be included in your Android app - making it easy to accept credit and debit cards.
takari/polyglot-maven,Support alternative markup for Apache Maven POM files
google/MOE,Make Opensource Easy - tools for synchronizing repositories
dkpro/dkpro-core,Collection of software components for natural language processing (NLP) based on the Apache UIMA framework.
kejunxia/AndroidMvc,Android MVC/MVP/MVVM framework
webanno/webanno,The Official WebAnno Repository
allegro/hermes,Fast and reliable message broker built on top of Kafka.
vert-x3/vertx-web,HTTP web applications for Vert.x
google/caliper,Micro-benchmarking library for Java
LibrePlan/libreplan,LibrePlan - Open Web Planning
h2oai/h2o-3,Open Source Fast Scalable Machine Learning Platform For Smarter Applications: Deep Learning - Gradient Boosting & XGBoost - Random Forest - Generalized Linear Modeling (Logistic Regression - Elastic Net) - K-Means - PCA - Stacked Ensembles - Automatic Machine Learning (AutoML) - etc.
h2oai/h2o-2,Please visit https://github.com/h2oai/h2o-3 for latest H2O
jetlang/core,
actframework/actframework,An easy to use Java MVC server stack
venusdrogon/feilong-core,:gem: Reduce development - Release ideas
codehaus/jackson,
b3log/solo,!!!!! 404 not found !!!!!
b3log/latke,!!!!! 404 not found !!!!!
aol/cyclops,An advanced - but easy to use - platform for writing functional applications in Java 8.
dermotte/LIRE,Open source library for content based image retrieval / visual information retrieval.
zaproxy/zaproxy,The OWASP ZAP core project
dbs-leipzig/gradoop,Distributed Graph Analytics with Apache Flink
airbnb/aerosolve,A machine learning package built for humans.
zalando/riptide,Client-side response routing for Spring
cfg4j/cfg4j,Modern configuration library for distributed apps written in Java.
Stratio/cassandra-lucene-index,Lucene based secondary indexes for Cassandra
tinyMediaManager/tinyMediaManager, A multi-OS media managment tool - Version 2 ###### for v3 join us on https://gitlab.com/tinyMediaManager/
tangyanbo/springmore,基础框架，通用功能封装
sfines/menagerie,ZooKeeper-based Java Concurrency Libraries
sockeqwe/sqlbrite-dao,DAO for SQLBrite
mongojack/mongojack,Mongojack maps Java objects to MongoDB documents. Based on the Jackson JSON mapper - Mongojack allows you to easily handle your mongo objects as POJOs (insert - search by id or by any other field - update).
openmhealth/shimmer,An application for reading health data from third-party APIs.
sky-map-team/stardroid,Sky Map (formerly Google Sky Map - open sourced in 2012)
devicehive/devicehive-java-server,DeviceHive Java Server
rubenlagus/TelegramBots,Java library to create bots using Telegram Bots API
naturalprogrammer/spring-lemon,Helper library for Spring Boot web applications
openfoodfacts/OpenFoodFacts-androidApp,Native version of Open Food Facts on Android - Coders & Decoders welcome 🤳🥫 
harshalbenake/hbworkspace2-100,(1) Name :- ActionBarSearchView Description :- Action bar search view.  (2) Name :- Adsfree Description :- Admob integration.  (3) Name :- AndroidDayDreamDemo Description :- Day dream demo.  (4) Name :- android query demo live Description :- Google play live app details parsing.  (5) Name :- Arc GIS map Description :- Arc gis map integration without hash key.  (6) Name :- aviarySdk Description :- Aviary integration for image operations.  (7) Name :- BetterGestureDetector Description :- Gesture accrate detection.  (8) Name :- BlinkText Description :- Blinking text.  (9) Name :- BuzzBoxSDKHelloWorld Description :- Buzz box integration cron scheduler.  (10) Name :- CircularProgressBar Description :- Circular progress bar.  (11) Name :- ContactNumbersDemo Description :- Get contact details from device.  (12) Name :- ControlViewheight Description :- Manage height of specific view.  (13) Name :- ControlViewHeightSeekbar Description :- Two listview manage appropriate hieght.  (14) Name :- DownloadManagerAndroid Description :- Download specific file online.  (15) Name :- Facebook Integration Description :- Facebook integration.  (16) Name :- Graphview Description :- Graphview demo.  (17) Name :- HB 1337 Description :- Virus and antivirus.  (18) Name :- HomeButtonEvent Description :- Block home button press.  (19) Name :- HomeLauncher Description :- Home launcher demo.  (20) Name :- InAppPurchaseTut Description :- InAppPurchase demo.  (21) Name :- KeyboardCustom Description :- Creating Custom keyboard demo.  (22) Name :- MapDemoGeofencing Description :- Location map for geo fencing.  (23) Name :- MapDemoV2Final Description :- Map demo for google version 2.  (24) Name :- OpenGLESSquare Description :- Opengl moving square.  (25) Name :- pagination numbering 2 Description :- Pagination type 2.  (26) Name :- Pagination numbering Description :- Pagination type 1.  (27) Name :- PhoneGapCordova Description :- Phone gap simple cordova demo.  (28) Name :- PhoneGapCordovaCamera Description :- Phone gap for camera.  (29) Name :- PhoneGapCordovaParsing Description :- Phone gap for parsing.  (30) Name :- PhoneGapCordovaSMS Description :- Phone gap for sending sms.  (31) Name :- RotatingWheel Description :- Rotating wheel by user interaction.  (32) Name :- RotatingWheelSocialsites Description :- Rotating wheel by user interaction for socialsites.  (33) Name :- RunningBackgroundServices Description :- Get Running services in background for package name/class name.  (34) Name :- SearchList Description :- Searching from a specific list.  (35) Name :- SearchViewContacts Description :- Search from contacts details.  (36) Name :- SlidingDrawer Description :- Sliding drawer from bottom over another activity.  (37) Name :- SpeechToTextDemo Description :- Convert speech to text.  (38) Name :- TextToSpeak Description :- Convert text to speech.  (39) Name :- TouchCordinates Description :- Get coordinate of user touch intergration.  (40) Name :- TreeViewListDemo Description :- Tree view integration demo.  (41) Name :- UninstallDeleteapp Description :- Uninstall another app from my app after removing admin permission.  (42) Name :- ViewPagerCustomWidthFragment Description :- Fragment in viewpager.  (43) Name :- WearableNotification Description :- Wearable notification.  (44) Name :- WearablePages Description :- Wearable pages.  (45) Name :- WidgetDemo Description :- Widget demo.  (46) Name :- CameraIntentAll Description :- Camera demo for picture as well as video demo.  (47) Name :- CameraOverlay Description :- Camera overlay image as aim shooting game.  (48) Name :- DrmIntegration Description :- Drm Integration library for authorize users apk file.  (49) Name :- SwipeRefreshLayout Description :- SwipeRefreshLayout Pulltorefresh like google.  (50) Name :- TwitterIntegration Description :- Twitter Integration.  (51) Name :- CameraADev Description :- Custom Camera for picture as well as video capture from android developer.  (52) Name :- DataBaseSQLiteCRUD Description :- Simple SQLite CRUD funtions for contact database.  (53) Name :- DataBaseSQLiteDBUtility Description :- Simple SQLite DBUtility all files and basic operations.  (54) Name :- CustomDropdownMenu Description :- Custom Dropdown/Poup Menu.  (55) Name :- CalenderSimpleView Description :- Simple calender view as well as timestamp using calender class.  (56) Name :- CalendarProviderADevIntent Description :- Calender provider Intent from android developer.  (57) Name :- AnimationTextViewAnimateLayoutChanges Description :- Animation of adding view inside another view using animatelayoutchanges.  (58) Name :- DragnDropLowVersion Description :- Drag n drop funtionality for low version.  (59) Name :- GoogleWalletAdev Description :- Google Wallet Integration from android developer.  (60) Name :- AndroidShootingGame Description :- Android Shooting Game without opengl.  (61) Name :- ViewPagerAnimation Description :- ViewPager page transformation for pages like alpha -scaling -rotation.  (62) Name :- GoogleCloudWirelessPrintingIntent Description :- Google cloud wireless printing integration from google developer.  (63) Name :- Barcode_or_QRCode_Scanner_openurl Description :- Barcord/QR code scanner from google play and open result url in browser.  (64) Name :- MSServerListSyncSample Description :- List Sync Sample using MS Server.  (65) Name :- SlidingMenuAPI Description :- Sliding Menu jeremyfeinstein library like facebook -gmail -etc.  (66) Name :- GCMIntegration Description :- Google cloud messageing integration for notification.  (67) Name :- NoiseAlert Description :- Detect noise or blow sound.  (68) Name :- GregorianCalendar Description :- Basic Gregorian Calendar information.  (69) Name :- getVariableName Description :- Get name of the variable not its value.  (70) Name :- GoogleAnalyticsV4Adev Description :- Google analytics integration V4.  (71) Name :- FlipboardAnimationAdev Description :- Animation like Flipboard.  (72) Name :- Html5Camera Description :- Camera in Html5 without phonegap.  (73) Name :- CopyPasteClipboard Description :- Copy & Paste Clipboard textual data.  (74) Name :- AndroidPhpMysql Description :- Php and Mysql data parsing in android.  (75) Name :- SpellChecker Description :- Check spelling and give appropriate suggestion for enter text.  (76) Name :- PdfReader Description :- Read pdf file.Barcode/QR code scanner.  (77) Name :- BarcodeQRcodeIntegration Description :- Barcode/QR code scanner using ZbarScanner lib and also Zxing lib without intent.  (78) Name :- InstagramIntegrationApi Description :- Instagram Integration using sample demo.  (79) Name :- Logger Description :- Read logger/logcat using api.  (80) Name :- SmsControl Description :- Control device via sms codes.  (81) Name :- EncryptDecryptString Description :- Encrypt string and Decrypt the same string.  (82) Name :- FloatingActionButton Description :- Floating Action Button.  (83) Name :- DownloadAndUnzipFile Description :- Download And Unzip File.  (84) Name :- MoPubAd Description :- MoPub Ad Banner integration .  (85) Name :- ListViewParsingDB_AndroidStudio Description :- ListView Parsing in android studio.  (86) Name :- CustomCamera_AS Description :- Custom Camera using surfaceview.  (87) Name :- ResizeableBox_AS Description :- Resizeable Box like crop.  (88) Name :- AudioRecorder_AS Description :- Audio Recorder.  (89) Name :- DateAndTimePicker_AS Description :- Date And Time Picker.  (90) Name :- CustomActionBar_AS Description :- Simple Custom ActionBar.  (91) Name :- CustomSpinner_AS Description :- Custom Spinner with default text item.  (92) Name :- SendEmail_AS Description :- Send email in background after authentication.  (93) Name :- GoogleAnalytics_AS Description :- GoogleAnalytics integration demo for crash and screen.  (94) Name :- BroadcastReciever_AS Description :- Broadcast Reciever for sms  -call and boot receiver.  (95) Name :- Azure Description :- Azure storage gsi credentials zip dowload.  (96) Name :- InAppPurchase_AS Description :- In App Purchase simple demo.  (97) Name :- iOS_Listview Description :- Simple Listview in ios.  (98) Name :- iOS_Database Description :- Sqlite Database in ios.  (99) Name :- MessangerList_AS Description :- Messanger Listview UI send and recieve.  (100) Name :- FindingFriend_AS Geofencing for enter and exit another pin.
Swagger2Markup/swagger2markup,A Swagger to AsciiDoc or Markdown converter to simplify the generation of an up-to-date RESTful API documentation by combining documentation that’s been hand-written with auto-generated API documentation.
locationtech/spatial4j,LocationTech Spatial4j: A Geospatial Library for Java
eclipse/golo-lang,Golo - a lightweight dynamic language for the JVM.
Contrast-Security-OSS/cassandra-migration,Database migration (evolution) tool for Apache Cassandra
spotify/async-google-pubsub-client,[SUNSET] Async Google Pubsub Client
opendatakit/collect,ODK Collect is an Android app for filling out forms. It's been used to collect billions of data points in challenging environments around the world. Contribute and make the world a better place! ✨📋✨
dom4j/dom4j,flexible XML framework for Java
amidst/toolbox,A Java Toolbox for Scalable Probabilistic Machine Learning
StylingAndroid/Prism,A dynamic colouring library for Android
testcontainers/testcontainers-java,Testcontainers is a Java library that supports JUnit tests - providing lightweight - throwaway instances of common databases - Selenium web browsers - or anything else that can run in a Docker container.
fabric8io/kubernetes-client,Java client for Kubernetes & OpenShift 
jitsi/ice4j,A Java implementation of the ICE protocol
rancher/cattle,Infrastructure orchestration engine for Rancher 1.x
openzipkin/brave,Java distributed tracing implementation compatible with Zipkin backend services.
atlassian/commonmark-java,Java library for parsing and rendering CommonMark (Markdown)
triplea-game/triplea,TripleA is a turn based strategy game and board game engine - similar to Axis & Allies or Risk.
matsim-org/matsim,Multi-Agent Transport Simulation
spring-cloud/spring-cloud-stream,Event-Driven Microservices with Spring Integration
apache/nifi,Mirror of Apache NiFi
trello/RxLifecycle,Lifecycle handling APIs for Android apps using RxJava
javadelight/delight-nashorn-sandbox,A sandbox for executing JavaScript with Nashorn in Java.
f-droid/fdroidclient,Android client application.
spring-cloud/spring-cloud-sleuth,Distributed tracing for spring cloud
aliyun/aliyun-openapi-java-sdk,Alibaba Cloud SDK for Java
OpenGamma/Strata, Open source analytics and market risk library from OpenGamma
dronekit/dronekit-android,Android DroneKit implementation
gravitee-io/gravitee-gateway,Gravitee.io - API Management - OpenSource API Gateway
neoremind/navi-pbrpc,A protobuf based high performance rpc framework leveraging full-duplexing and asynchronous io with netty
camelinaction/camelinaction2,:camel: This project hosts the source code for the examples of the Camel in Action 2nd ed book :closed_book: written by Claus Ibsen and Jonathan Anstey.
evrignaud/fim,File Integrity Manager - 
camunda/camunda-bpm-spring-boot-starter,Camunda BPM bootified!
apache/ignite,Mirror of Apache Ignite
firebase/FirebaseUI-Android,Optimized UI components for Firebase
apache/usergrid,Mirror of Apache Usergrid
jrtom/jung,JUNG: Java Universal Network/Graph Framework
raydac/netbeans-mmd-plugin,Mind Map editor + plugin for NetBeans and Intellij
rchodava/datamill,A Java framework for web applications using a functional reactive style built on RxJava
sih4sing5hong5/google-sites-liberation,Fork Version: This is an import/export tool for Google Sites.
ebi-pf-team/interproscan,
java-native-access/jna,Java Native Access
Treeptik/cloudunit,The Turnkey DevOps Platform
seleniumkit/gridrouter,Selenium-based solution to serve 1000+ browsers
neoremind/fluent-validator,A Java validation framework leveraging fluent interface style and JSR 303 specification
bazelbuild/bazel,a fast - scalable - multi-language and extensible build system
javaserverfaces/mojarra,Mojarra - Oracle's implementation of the JavaServer Faces specification 
aliyun/aliyun-oss-java-sdk,Aliyun OSS SDK for Java
Richard-Rose/SubMicroTrading,Ultra Low Latency Trading Framework (OMS - Trading+MarketData Adapters - Algo Container etc)
kagkarlsson/db-scheduler,Persistent cluster-friendly scheduler for Java
google/binnavi,BinNavi is a binary analysis IDE that allows to inspect - navigate - edit and annotate control flow graphs and call graphs of disassembled code.
spring-cloud/spring-cloud-dataflow,A microservices-based Streaming and Batch data processing in Cloud Foundry and Kubernetes
demilich1/metastone,Hearthstone simulator written in Java with full GUI support
zalando/problem,A Java library that implements application/problem+json
eclipse/che,Eclipse Che: Next-generation Eclipse IDE.  Open source workspace server and cloud IDE.
redpen-cc/redpen,RedPen is an open source proofreading tool to check if your technical documents meet the writing standard. RedPen supports various markup text formats (Markdown - Textile - AsciiDoc - Re:VIEW - reStructuredText and LaTeX).
dodie/scott,Never debug a test again: Detailed failure reports and hassle free assertions for Java tests - Power Asserts for Java
Netflix/Fenzo,Extensible Scheduler for Mesos Frameworks
EliFUT/android,EliFUT is a "football manager" style Android game
uber/tchannel-java,A Java implementation of the TChannel protocol.
npgall/concurrent-trees,Concurrent Radix and Suffix Trees for Java
dmfs/opentasks,A task app for Android
rapidminer/rapidminer-studio,Easy-to-use visual environment for predictive analytics. No programming required.  RapidMiner is easily the most powerful and intuitive graphical user interface for the design of analysis processes. Forget sifting through code! You can also choose to run in batch mode. Whatever you prefer - RapidMiner has it all.
WPIRoboticsProjects/GRIP,Program for rapidly developing computer vision applications
Brunel-Visualization/Brunel,Brunel Visualization
tools4j/unix4j,An implementation of Unix command line tools in Java.
bmwcarit/barefoot,Java map matching library for integrating the map into software and services with state-of-the-art online and offline map matching that can be used stand-alone and in the cloud.
zalando/problem-spring-web,A library for handling Problems in Spring Web MVC
spring-cloud/spring-cloud-task,Short lived microservices with Spring Batch
eBay/UAF,UAF - Universal Authentication Framework
atomix/copycat,A novel implementation of the Raft consensus algorithm
feuyeux/jax-rs2-guide-II,《Java Restful Web Service实战 第二版》源代码
dstl/baleen,Entity Extraction Text Processor
EvoSuite/evosuite,EvoSuite - automated generation of JUnit test suites for Java classes
tomasbjerre/pull-request-notifier-for-bitbucket,Bitbucket Server plugin that invokes a custom URL when a pull request event is triggered.
streamsets/datacollector,StreamSets Data Collector - Continuous big data and cloud platform ingest infrastructure
pinterest/terrapin,Serving system for batch generated data sets
JikesRVM/JikesRVM,Jikes RVM (Research Virtual Machine)
Fewlaps/quitnow-cache,A collection to store data for a given time
childe/hangout,用java实现一下Logstash的几个常用input/filter/output - 希望能有效率上面的大提升. 现在我们迁移到golang了 https://github.com/childe/gohangout
sleekbyte/tailor,Cross-platform static analyzer and linter for Swift.
atomix/atomix,A reactive Java framework for building fault-tolerant distributed systems
JMRI/JMRI,JMRI model railroad digital command & control software
piotrpolak/android-http-server,A complete zero-dependency implementation of a web server and a servlet container in Java with a sample Android application.
sercxtyf/onboard,敏捷软件开发协同工具
joshlong/cloud-native-workshop,win w/ Spring Boot - Spring Cloud and Cloud Foundry
jpmml/jpmml-sklearn,Java library and command-line application for converting Scikit-Learn pipelines to PMML
zsoltherpai/feather,Lightweight dependency injection for Java and Android (JSR-330)
FINRAOS/herd,Herd is a managed data lake for the cloud. The Herd unified data catalog helps separate storage from compute in the cloud. Manage petabytes of data and make it accessible for data processing and analytical purposes by any cloud compute platform. 
AmadeusITGroup/sonar-stash,Stash (BitBucket) plugin - a pull-request decorator which allows to integrate SonarQube violations directly into your pull-request
everit-org/json-schema,JSON Schema validator for java - based on the org.json API
Stratio/Decision,Powered by Spark Streaming & Siddhi
TomRoush/PdfBox-Android,The Apache PdfBox project ported to work on Android
stkent/amplify,Respectfully request feedback in your Android app.
borball/weixin-sdk,微信公众平台(订阅号、服务号、企业号、小程序)、微信开放平台和微信支付 Java SDK
zalando/logbook,An extensible Java library for HTTP request and response logging
OpenRoberta/robertalab,IMPORTANT: this repository statys for HISTORICAL reasons only. The actively supported repository is "openroberta-lab". In the "develop" branch of this repository please read the files "IMPORTANT_CHANGE.md" and "README.md". Thank you very much.
nidi3/graphviz-java,Use graphviz with pure java
apache/james-project,Emails at the heart of your business logic!
randoop/randoop,Automatic test generation for Java
tslamic/premiumer,Premiumer makes removing ads with a single in-app purchase on Android as easy as pie.
watson-developer-cloud/java-sdk,:1st_place_medal: Java SDK to use the IBM Watson services.
pedrovgs/AndroidGameBoyEmulator,Android Game Boy Emulator written in Java
wmixvideo/nfe,Nota Fiscal Eletrônica em Java.
vladmihalcea/high-performance-java-persistence,The High-Performance Java Persistence book and video course code examples
yahoo/elide,Elide is a Java library that lets you stand up a GraphQL/JSON-API web service with minimal effort.
eBay/Eagle,This codebase is retained for historical interest only - please visit Apache Incubator Repository for latest one
graphaware/neo4j-to-elasticsearch,GraphAware Framework Module for Integrating Neo4j with Elasticsearch
VocabHunter/VocabHunter,VocabHunter helps learners of foreign languages find vital new vocabulary to study.
zalando/nakadi,A distributed event bus that implements a RESTful API abstraction on top of Kafka-like queues
scribejava/scribejava,Simple OAuth library for Java
pwm-project/pwm,pwm
jiangqqlmj/FastDev4Android,本项目是Android快速开发框架，采用AndroidStudio进行开发。 预想集成工具包 -采用MVP开发模式 -EventBus数据分发 -沉浸式状态栏 -ORM -网络请求(HTTPClint -Volley -OkHttps) -数据解析 -依赖注入(AndroidAnnotations) -xutils -图片异步加载，二维码扫描等等，后续会进行逐步添加
remoting/dubbox,
evernote/android-job,Android library to handle jobs in the background.
cmu-phil/tetrad,Repository for the Tetrad Project - www.phil.cmu.edu/tetrad.
apache/calcite,Mirror of Apache Calcite
eBay/parallec,Fast Parallel Async HTTP/SSH/TCP/UDP/Ping Client Java Library. Aggregate 100 -000 APIs & send anywhere in 20 lines of code. Ping/HTTP Calls 8000 servers in 12 seconds. (Akka) www.parallec.io
Glucosio/glucosio-android,Glucosio Android App
dadoonet/fscrawler,Elasticsearch File System Crawler (FS Crawler)
sdoward/RxGoogleMaps,Rx Wrapper For Android Google maps
ngs-doo/dsl-json,High performance JVM JSON library
DISID/disid-proofs,DISID's repository of proofs of concept.
ertugrulcetin/GlueList,GlueList is brand new list implementation which is faster than classic List implementations
mraible/21-points,❤️ 21-Points Health is an app you can use to monitor your health. 
gk-brown/HTTP-RPC,Lightweight REST for Java
tomighty/tomighty,Old Tomighty repo. For the new repos - please refer to: tomighty-osx and tomighty-windows
eclipse/hawkbit,Eclipse hawkBit™
aesteve/nubes,Annotation layer on top of Vert.x 3
reactor/reactor-core,Non-Blocking Reactive Foundation for the JVM
Waikato/moa,MOA is an open source framework for Big Data stream mining. It includes a collection of machine learning algorithms (classification - regression - clustering - outlier detection - concept drift detection and recommender systems) and tools for evaluation.
blocoio/faker,A Java port of the Faker ruby gem: https://github.com/stympy/faker/
confluentinc/kafka-connect-jdbc,Kafka Connect connector for JDBC-compatible databases
requery/requery,requery - modern SQL based query & persistence for Java / Kotlin / Android
vmware/xenon,Xenon - Decentralized Control Plane Framework
confluentinc/kafka-connect-hdfs,Kafka Connect HDFS connector
line/armeria,Asynchronous RPC/REST library built on top of Java 8 - Netty - HTTP/2 - Thrift and gRPC
spotify/heroic,The Heroic Time Series Database
spotify/apollo,Java libraries for writing composable microservices
decaywood/XueQiuSuperSpider,雪球股票信息超级爬虫
uber/rides-android-sdk,Uber Rides Android SDK (beta)
JumpMind/metl,Metl is a simple - web-based integration platform that allows for several different styles of data integration including messaging - file based Extract/Transform/Load (ETL) - and remote procedure invocation via Web Services. Read more at www.jumpmind.com/products/metl/overview
apache/groovy,Mirror of Apache Groovy
apache/kylin,Apache Kylin
JumpMind/symmetric-ds,SymmetricDS is a database and file synchronization solution that is platform-independent - web-enabled - and database agnostic.  SymmetricDS was built to make data replication across two to tens of thousands of databases and file systems fast - easy and resilient.  We specialize in near real time - bi-directional data replication across large node networks over the WAN or LAN.
stellar/java-stellar-sdk,
Tickaroo/tikxml,Modern XML Parser for Android
phoenixnap/springmvc-raml-plugin,Spring MVC - RAML Spec Synchroniser Plugin. A Maven plugin designed to Generate Server & Client code in Spring from a RAML API descriptor and conversely - a RAML API document from the SpringMVC Server implementation.
mangstadt/biweekly,biweekly is an iCalendar library written in Java.
SonarSource/sonar-python,:snake: SonarQube Python plugin
find-sec-bugs/find-sec-bugs,The SpotBugs plugin for security audits of Java web applications and Android applications. (Also work with Kotlin - Groovy and Scala projects)
shred/acme4j,Java client for ACME (Let's Encrypt)
UNIVALI-LITE/Portugol-Studio,Ambiente de Programação didático para a linguagem Portugol 2.0
halfhp/androidplot,Charts and plots for Android
SonarSource/sonar-php, :elephant: SonarPHP: PHP static analyzer for SonarQube & SonarLint
eclipse/eclipse-collections,Eclipse Collections is a collections framework for Java with optimized data structures and a rich - functional and fluent API.
VREMSoftwareDevelopment/WifiAnalyzer,Android application to analyze WiFi signals.
facebookarchive/linkbench,Facebook Graph Benchmark
Netflix/photon,Photon is a Java implementation of the Interoperable Master Format (IMF) standard. IMF is a SMPTE standard whose core constraints are defined in the specification st2067-2:2013
vanniktech/OnActivityResult,OnActivityResult annotation compiler for Android
jorabin/KeePassJava2,Java API for KeePass Password Databases - Read/Write 2.x - Read 1.x
zalando/intellij-swagger,A plugin to help you easily edit Swagger and OpenAPI specification files inside IntelliJ IDEA
blockchain/My-Wallet-V3-Android,Blockchain Android Wallet
stanford-futuredata/macrobase,MacroBase: A Search Engine for Fast Data
blazegraph/database,Blazegraph High Performance Graph Database
reactor/reactive-streams-commons,A joint research effort for building highly optimized Reactive-Streams compliant operators.
electronicarts/ea-async,EA Async implements async-await methods in the JVM.
fabioCollini/DaggerMock,A JUnit rule to easily override Dagger 2 objects
RoaringBitmap/RoaringBitmap,A better compressed bitset in Java
eclipse/eclipse-collections-kata,Collections Kata
influxdata/influxdb-java,Java client for InfluxDB
gaoxianglong/shark,:shark:分布式mysql分库分表中间件，sharding领域的一站式解决方案
cache2k/cache2k,Lightweight - high performance Java caching
xiaolongzuo/niubi-job,一个高可用的，专门针对定时任务的分布式任务调度框架
tobato/FastDFS_Client,Java Client for FastDFS
RestComm/sip-servlets,Leading SIP - IMS - WebRTC Application Server
metasfresh/metasfresh,We do Open Source ERP - Fast - Flexible & Free Software to scale your Business.
eclipse/rdf4j,RDF4J Project
jonashackt/tutorial-soap-spring-boot-cxf,Tutorial how to create - test - deploy - monitor SOAP-Webservices using Spring Boot and Apache CXF
jamorham/xDrip-plus,Enhanced personal research version of the xDrip android app
BetterCloud/vault-java-driver,Zero-dependency Java client for HashiCorp's Vault
hs-web/hsweb-framework,hsweb (haʊs wɛb) 是一个用于快速搭建企业后台管理系统的基础项目 -集成一揽子便捷功能如:便捷的通用增删改查 -强大的权限管理 -动态多数据源 -动态表单 -在线数据库维护等. 基于 spring-boot -mybaits.
nero520/mybatis,中文注释并附带图解架构
graalvm/sulong,Obsolete repository. Moved to oracle/graal.
andrey7mel/android-step-by-step,Android app step by step: https://habrahabr.ru/company/rambler-co/blog/275943/
