repo,description
rythmengine/rythmengine,A "Razor" like - rich featured - high performance and easy to use Java template engine
jenkinsci/promoted-builds-plugin,Jenkins Promoted Builds Plugin
neuland/jade4j,a pug implementation written in Java (formerly known as jade)
Talend/tesb-rt-se,ESB
mvel/mvel,MVEL (MVFLEX Expression Language)
tony19/logback-android,📄The reliable - generic - fast and flexible logging framework for Android
matyb/java-koans,A framework and lessons to learn java syntax and idioms in a logical sequence.
jenkinsci/github-plugin,Jenkins GitHub plugin
FasterXML/java-classmate,Library for introspecting generic type information of types - member/static methods - fields. Especially useful for POJO/Bean introspection.
undertow-io/undertow,High performance non-blocking webserver
apache/hama,Mirror of Apache Hama
asakusafw/asakusafw,Asakusa Framework
SeleniumHQ/fluent-selenium,Fluent Selenium
DozerMapper/dozer,Dozer is a Java Bean to Java Bean mapper that recursively copies data from one object to another. 
geosolutions-it/geoserver-manager,Java client library for GeoServer
alphazero/jredis,Java Client and Connectors for Redis
frgomes/jquantlib,JQuantLib is a library for Quantitative Finance written in 100% Java
opensagres/xdocreport,XDocReport means XML Document reporting. It's Java API to merge XML document created with MS Office (docx) or OpenOffice (odt) - LibreOffice (odt) with a Java model to generate report and convert it if you need to another format (PDF - XHTML...). 
couchbase/couchbase-java-client,The official Java client for Couchbase Server
kevinsawicki/gitective,Find the Git commits you're looking for
magro/kryo-serializers,More kryo serializers
magro/memcached-session-manager,A tomcat session manager that backups sessions in memcached and pulls them from there if asked for unknown sessions
apache/bookkeeper,Apache Bookkeeper
qos-ch/slf4j,Simple Logging Facade for Java
apache/tomcat,Apache Tomcat
sevntu-checkstyle/sevntu.checkstyle,Additional Checkstyle checks - that could be added as extension to EclipseCS plugin and maven-checkstyle-plugin - Sonar checkstyle plugin - extension for CheckStyle IDEA plugin.
apache/commons-codec,Apache Commons Codec
apache/commons-cli,Mirror of Apache Commons CLI
tomp2p/TomP2P,A P2P-based high performance key-value pair storage library
bytemanproject/byteman,Byteman Project main repo
hierynomus/sshj,ssh - scp and sftp for java
BlackLabs/play-morphia,Provide mongodb access service to play.db.Model via Morphia
webbit/webbit,A Java event based WebSocket and HTTP server
antlr/antlr4,ANTLR (ANother Tool for Language Recognition) is a powerful parser generator for reading - processing - executing - or translating structured text or binary files.
jbehave/jbehave-core,
kohsuke/github-api,Java API for GitHub
perwendel/spark,A simple expressive web framework for java. News: Spark now has a kotlin DSL https://github.com/perwendel/spark-kotlin
apache/jmeter,Apache JMeter
jenkinsci/tfs-plugin,Jenkins tfs plugin
helun/Ektorp,Java API for CouchDB
rest-driver/rest-driver,Test Driver to test your RESTful services and clients
apache/bigtop,Mirror of Apache Bigtop
antlr/stringtemplate4,StringTemplate 4
aled/jsi,Java Spatial Index
